error,response,target,subject
-0.017453293,-3.106686069,-3.089232776,1
-0.087266463,1.413716694,1.500983157,1
0.104719755,2.478367538,2.373647783,1
-0.122173048,2.268928028,2.391101075,1
-0.226892803,0.820304748,1.047197551,1
-0.087266463,-2.967059728,-2.879793266,1
-0.034906585,0.663225116,0.698131701,1
-0.034906585,-0.942477796,-0.907571211,1
-0.06981317,1.099557429,1.169370599,1
-0.034906585,-1.413716694,-1.378810109,1
-0.017453293,-1.326450232,-1.308996939,1
0.052359878,-2.513274123,-2.565634,1
0,2.792526803,2.792526803,1
0.052359878,1.186823891,1.134464014,1
0,-2.059488517,-2.059488517,1
-0.017453293,-2.07694181,-2.059488517,1
-0.034906585,-0.383972435,-0.34906585,1
-0.017453293,0.488692191,0.506145483,1
-0.052359878,-2.687807048,-2.635447171,1
0.06981317,-2.932153143,-3.001966313,1
-0.052359878,2.548180708,2.600540585,1
-0.06981317,-1.326450232,-1.256637061,1
0.06981317,-1.570796327,-1.640609497,1
-0.104719755,1.954768762,2.059488517,1
0.017453293,-2.21656815,-2.234021443,1
-0.017453293,1.815142422,1.832595715,1
0.052359878,-2.059488517,-2.111848395,1
0.034906585,-0.907571211,-0.942477796,1
0,-0.174532925,-0.174532925,1
0,-1.378810109,-1.378810109,1
0.087266463,-2.775073511,-2.862339973,1
0.052359878,1.989675347,1.93731547,1
0.052359878,-2.460914245,-2.513274123,1
0.017453293,-1.640609497,-1.658062789,1
-0.017453293,2.600540585,2.617993878,1
0.06981317,-1.710422667,-1.780235837,1
0,2.827433388,2.827433388,1
0,2.879793266,2.879793266,1
0.017453293,1.378810109,1.361356817,1
0.174532925,1.274090354,1.099557429,1
0.034906585,0.191986218,0.157079633,1
0.06981317,2.111848395,2.042035225,1
0.052359878,-0.226892803,-0.27925268,1
-0.034906585,-0.994837674,-0.959931089,1
-0.06981317,-1.588249619,-1.518436449,1
0.034906585,2.478367538,2.443460953,1
-0.052359878,-0.994837674,-0.942477796,1
0.034906585,-2.07694181,-2.111848395,1
-0.034906585,2.652900463,2.687807048,1
0.017453293,-0.13962634,-0.157079633,1
-0.13962634,1.588249619,1.727875959,2
0.052359878,3.106686069,3.054326191,2
0.122173048,-0.802851456,-0.925024504,2
-0.087266463,-2.49582083,-2.408554368,2
0.087266463,-2.530727415,-2.617993878,2
0.052359878,-2.705260341,-2.757620218,2
0.034906585,-1.972222055,-2.00712864,2
-0.017453293,-1.448623279,-1.431169987,2
-0.017453293,-1.570796327,-1.553343034,2
-0.017453293,-1.710422667,-1.692969374,2
0.13962634,-2.809980096,-2.949606436,2
0.157079633,-2.635447171,-2.792526803,2
-0.052359878,-2.391101075,-2.338741198,2
0.017453293,1.064650844,1.047197551,2
-0.017453293,1.343903524,1.361356817,2
-0.174532925,-2.338741198,-2.164208272,2
-0.06981317,0.087266463,0.157079633,2
-0.034906585,1.483529864,1.518436449,2
0.052359878,0.41887902,0.366519143,2
-0.06981317,-1.954768762,-1.884955592,2
0.157079633,-0.837758041,-0.994837674,2
-0.017453293,2.827433388,2.844886681,2
-0.052359878,0.942477796,0.994837674,2
0.017453293,2.932153143,2.914699851,2
-0.017453293,1.815142422,1.832595715,2
-0.034906585,-2.42600766,-2.391101075,2
-0.13962634,-2.408554368,-2.268928028,2
0,-2.513274123,-2.513274123,2
