response,pairA_1,pairA_2,pairB_1,pairB_2,subject
0,2.181661565,-1.308996939,-1.047197551,-0.261799388,1
0,1.658062789,3.054326191,-1.308996939,0.174532925,1
1,0.872664626,1.570796327,-1.832595715,-1.745329252,1
0,-0.261799388,1.832595715,2.967059728,-1.134464014,1
1,2.443460953,2.705260341,-1.308996939,-0.261799388,1
1,0.174532925,0.34906585,2.879793266,-2.967059728,1
1,-3.054326191,-2.617993878,1.221730476,2.35619449,1
1,0,0.261799388,2.879793266,-3.054326191,1
0,-1.483529864,0,1.396263402,1.658062789,1
1,-1.396263402,-0.610865238,1.658062789,-1.919862177,1
0,-1.308996939,0.174532925,0.785398163,1.134464014,1
1,0.523598776,0.785398163,-2.181661565,-1.832595715,1
0,-1.658062789,0.261799388,0.523598776,2.094395102,1
1,2.617993878,-3.054326191,-0.261799388,1.396263402,1
1,0.087266463,0.436332313,0.959931089,2.443460953,1
1,0.523598776,0.785398163,2.094395102,-2.879793266,1
0,-2.443460953,0.174532925,2.181661565,2.792526803,1
1,-0.436332313,1.221730476,2.35619449,-1.483529864,1
1,2.094395102,-2.443460953,0.785398163,2.00712864,1
1,2.00712864,2.792526803,-1.134464014,1.483529864,1
0,0,2.268928028,-2.268928028,-2.00712864,1
0,1.832595715,2.443460953,0.34906585,0.523598776,1
1,-2.530727415,-1.047197551,0.698131701,2.705260341,1
1,-2.443460953,-2.268928028,1.047197551,3.054326191,1
1,-0.174532925,0.087266463,-3.054326191,-0.436332313,1
0,2.879793266,-2.530727415,-0.959931089,0.261799388,1
1,1.047197551,1.396263402,3.054326191,-1.221730476,1
0,1.396263402,-2.181661565,-1.570796327,-0.174532925,1
1,1.134464014,2.705260341,-2.879793266,-0.785398163,1
0,2.181661565,2.879793266,1.047197551,1.221730476,1
1,1.658062789,2.705260341,-2.00712864,0.698131701,1
0,2.967059728,-0.698131701,2.268928028,2.443460953,1
1,2.617993878,-2.530727415,-1.221730476,1.570796327,1
0,-2.094395102,-0.872664626,0.698131701,1.047197551,1
0,-0.872664626,0.872664626,-2.530727415,-1.919862177,1
0,0.959931089,-2.35619449,-2.268928028,0.959931089,1
0,-2.268928028,-1.047197551,0.959931089,1.134464014,1
0,0.698131701,2.530727415,2.617993878,-2.705260341,1
0,-0.785398163,1.396263402,2.967059728,-3.054326191,1
1,-2.443460953,-2.35619449,0.34906585,-2.879793266,1
0,0.174532925,1.745329252,2.268928028,-3.141592654,1
0,-1.919862177,0.959931089,2.879793266,-2.268928028,1
1,-1.483529864,-0.436332313,0,2.705260341,1
0,-1.047197551,1.745329252,-2.705260341,-1.134464014,1
0,0.34906585,1.483529864,1.919862177,2.530727415,1
1,1.919862177,2.617993878,-2.705260341,-0.174532925,1
1,-3.141592654,-2.530727415,1.570796327,2.268928028,1
0,3.054326191,-0.523598776,-0.261799388,-0.174532925,1
0,2.967059728,-2.181661565,0.436332313,0.610865238,1
0,-2.181661565,-1.308996939,1.047197551,2.268928028,1
0,-0.34906585,2.879793266,-2.705260341,-0.785398163,1
0,1.832595715,-2.268928028,-1.919862177,-1.221730476,1
0,-1.570796327,-0.610865238,1.396263402,1.832595715,1
0,-2.181661565,-1.745329252,-0.610865238,-0.523598776,1
1,0.261799388,1.919862177,-2.705260341,-1.134464014,1
1,-2.094395102,-2.00712864,2.094395102,-2.792526803,1
0,-1.134464014,-0.785398163,1.570796327,1.832595715,1
0,-2.705260341,-0.174532925,0.610865238,0.872664626,1
0,-1.134464014,-0.436332313,2.967059728,-3.141592654,1
1,1.745329252,1.832595715,1.919862177,-2.268928028,1
0,-2.268928028,-0.34906585,0.523598776,0.698131701,1
1,-2.443460953,-2.094395102,2.094395102,2.617993878,1
1,2.530727415,-3.141592654,-3.054326191,-2.617993878,1
0,0.174532925,2.094395102,-2.530727415,-2.00712864,1
0,-2.181661565,-1.483529864,-2.879793266,-2.530727415,1
0,-0.872664626,-0.34906585,1.483529864,2.443460953,1
0,0.261799388,0.959931089,-0.698131701,0.174532925,1
1,-0.872664626,-0.523598776,0.872664626,1.308996939,1
0,-3.054326191,-0.174532925,2.792526803,-3.141592654,1
1,0.34906585,2.094395102,2.792526803,-2.530727415,1
0,0.34906585,-2.967059728,-2.879793266,0.261799388,1
1,-0.610865238,0.34906585,0.959931089,-3.141592654,1
0,0.698131701,1.047197551,0,0.523598776,1
0,-1.832595715,0.34906585,1.483529864,2.967059728,1
0,-1.047197551,1.570796327,2.705260341,-2.35619449,1
1,-1.396263402,-0.785398163,2.705260341,-2.792526803,1
0,-0.436332313,2.443460953,-2.967059728,-2.792526803,1
0,-1.396263402,0.436332313,-2.617993878,-1.570796327,1
0,1.483529864,-2.443460953,0.174532925,1.047197551,1
0,-2.967059728,-1.396263402,-1.134464014,0.261799388,1
1,0.610865238,1.919862177,2.792526803,-0.523598776,1
1,1.134464014,2.094395102,-2.181661565,0.174532925,1
0,1.483529864,-1.919862177,0.34906585,0.872664626,1
1,-1.134464014,-0.959931089,1.919862177,-2.00712864,1
1,3.054326191,-2.967059728,-2.443460953,-0.959931089,1
1,-1.396263402,-0.34906585,1.134464014,2.443460953,1
1,1.134464014,1.570796327,2.530727415,-2.705260341,1
1,2.967059728,-2.094395102,-1.308996939,0.087266463,1
0,-1.396263402,-0.959931089,1.134464014,1.658062789,1
1,1.658062789,2.094395102,-2.094395102,0.34906585,1
0,-1.832595715,1.221730476,1.658062789,2.530727415,1
0,-1.308996939,0.174532925,2.705260341,-3.054326191,1
0,-1.134464014,1.308996939,2.00712864,-2.00712864,1
0,0.785398163,2.094395102,-1.919862177,-0.785398163,1
0,1.134464014,1.919862177,-0.698131701,-0.174532925,1
1,-2.181661565,-1.483529864,-0.523598776,1.832595715,1
1,-1.570796327,-0.959931089,0.785398163,-2.879793266,1
1,0.436332313,1.919862177,-3.141592654,-1.570796327,1
0,-1.658062789,-0.523598776,2.094395102,2.530727415,1
0,0.785398163,-2.792526803,-0.523598776,-0.34906585,1
1,-0.959931089,0.610865238,-2.530727415,-1.308996939,1
1,-1.570796327,-0.610865238,0.785398163,1.570796327,1
0,-0.698131701,0.436332313,-2.705260341,-2.268928028,1
1,-1.832595715,0.261799388,1.396263402,-2.705260341,1
1,0.698131701,0.785398163,1.832595715,-2.00712864,1
0,1.396263402,-1.919862177,-1.919862177,1.221730476,1
0,1.396263402,-3.141592654,1.134464014,1.308996939,1
1,-1.570796327,-0.872664626,-0.174532925,1.047197551,1
0,0.872664626,2.705260341,-2.181661565,-2.00712864,1
0,-2.268928028,0.523598776,-3.054326191,-2.617993878,1
1,1.221730476,1.396263402,2.967059728,-2.443460953,1
0,0.261799388,2.35619449,-1.134464014,-0.610865238,1
1,-1.919862177,-0.959931089,0.261799388,0.872664626,1
0,-2.00712864,0.087266463,0.959931089,1.221730476,1
1,1.919862177,-2.00712864,-1.221730476,1.745329252,1
0,1.134464014,2.617993878,-0.959931089,-0.698131701,1
0,0.261799388,0.610865238,-1.047197551,-0.523598776,1
0,1.134464014,-2.792526803,-1.308996939,-0.872664626,1
1,2.268928028,-3.141592654,0.872664626,2.094395102,1
0,0.872664626,3.054326191,-2.443460953,0.436332313,1
0,0.087266463,1.570796327,-2.792526803,-2.443460953,1
0,1.221730476,1.919862177,0.34906585,1.047197551,1
1,2.879793266,-3.141592654,-1.745329252,0.959931089,1
0,2.792526803,-1.745329252,-1.221730476,-0.436332313,1
0,-1.483529864,-1.221730476,-0.698131701,-0.261799388,1
0,-1.134464014,0.698131701,-2.617993878,-2.530727415,1
1,1.483529864,2.00712864,-2.879793266,0.34906585,1
1,2.879793266,-2.879793266,0.785398163,1.483529864,1
0,-1.745329252,0.610865238,2.792526803,-1.919862177,1
0,-1.570796327,0.959931089,2.268928028,2.530727415,1
0,1.134464014,-2.268928028,-1.308996939,0.436332313,1
0,-0.785398163,-0.698131701,-0.523598776,-0.436332313,1
0,2.443460953,-1.396263402,-1.308996939,1.483529864,1
1,1.832595715,2.705260341,-0.174532925,1.658062789,1
0,-1.483529864,-1.047197551,-0.872664626,-0.523598776,1
1,1.134464014,1.745329252,-2.792526803,-1.221730476,1
1,-1.308996939,-0.872664626,0,0.872664626,1
1,0.523598776,1.308996939,-2.967059728,-2.443460953,1
0,1.134464014,-2.268928028,0,0.959931089,1
1,0,0.087266463,-2.268928028,-1.483529864,1
1,-0.261799388,2.792526803,2.879793266,-0.34906585,1
0,2.094395102,-1.134464014,-0.34906585,0.34906585,1
1,-1.483529864,-0.959931089,0.610865238,2.00712864,1
1,-0.523598776,0,-2.879793266,-1.658062789,1
0,-0.872664626,1.134464014,2.705260341,-2.617993878,1
1,2.967059728,-1.658062789,-1.570796327,1.570796327,1
1,1.745329252,2.268928028,2.35619449,-2.268928028,1
1,-0.261799388,0.174532925,1.745329252,2.617993878,1
0,1.658062789,2.705260341,1.221730476,1.570796327,1
1,0.610865238,0.698131701,2.705260341,-1.047197551,1
0,2.879793266,-2.443460953,1.308996939,1.658062789,1
0,1.483529864,2.705260341,-3.054326191,-2.443460953,1
1,1.396263402,2.094395102,-2.443460953,-0.698131701,1
1,-3.141592654,-1.658062789,-0.610865238,2.617993878,1
1,2.00712864,2.094395102,-0.174532925,0.34906585,1
0,-1.658062789,0.959931089,2.792526803,-2.268928028,1
0,-3.054326191,-1.396263402,-0.34906585,0.610865238,1
