error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
0.488692191,-1.832595715,-1.413716694,NaN,NaN,NaN,3,-1.518436449,-2.00712864,2.932153143,-2.932153143,NaN,NaN,NaN,1
-0.226892803,3.019419606,-0.977384381,NaN,NaN,NaN,3,-2.617993878,-2.391101075,0.401425728,2.687807048,NaN,NaN,NaN,1
-0.13962634,2.565634,-0.401425728,NaN,NaN,NaN,3,0.366519143,0.506145483,2.932153143,-0.034906585,NaN,NaN,NaN,1
0.087266463,2.408554368,0.733038286,NaN,NaN,NaN,3,-1.134464014,-1.221730476,1.274090354,-0.401425728,NaN,NaN,NaN,1
0.122173048,0.506145483,2.775073511,NaN,NaN,NaN,3,0.855211333,0.733038286,1.361356817,-2.652900463,NaN,NaN,NaN,1
0.06981317,0.017453293,0.994837674,NaN,NaN,NaN,3,1.8675023,1.79768913,1.884955592,2.862339973,NaN,NaN,NaN,1
-0.314159265,2.164208272,2.705260341,NaN,NaN,NaN,3,2.024581932,2.338741198,-2.094395102,-1.553343034,NaN,NaN,NaN,1
0.017453293,0.436332313,-1.93731547,NaN,NaN,NaN,3,1.710422667,1.692969374,2.14675498,-0.226892803,NaN,NaN,NaN,1
-0.104719755,-0.663225116,-2.775073511,NaN,NaN,NaN,3,2.14675498,2.251474735,1.483529864,-0.628318531,NaN,NaN,NaN,1
-0.733038286,1.675516082,-2.740166926,NaN,NaN,NaN,3,-0.802851456,-0.06981317,0.872664626,2.740166926,NaN,NaN,NaN,1
0.593411946,2.478367538,1.012290966,NaN,NaN,NaN,3,-1.919862177,-2.513274123,0.558505361,-0.907571211,NaN,NaN,NaN,1
-1.483529864,-0.41887902,0.645771823,NaN,NaN,NaN,3,-0.820304748,0.663225116,-1.239183769,-0.174532925,NaN,NaN,NaN,1
